email_id,hour,weekday,country,purchases,paragraphs,is_personal,response
85120,2,7,US,5,2,1,received
966622,12,7,UK,2,4,1,clicked
777221,11,3,US,2,4,1,received
493711,6,1,UK,1,2,0,received
106887,14,1,US,6,4,0,received
684440,6,7,UK,3,4,1,received
139620,9,6,US,8,2,1,opened
694933,8,6,US,2,4,0,received
485760,5,1,US,4,4,1,received
592665,23,3,US,3,2,1,received
9157,7,5,UK,4,4,0,received
34148,10,2,US,4,4,1,received
539337,8,1,US,9,2,0,received
635573,3,4,US,8,2,1,opened
399688,8,2,US,1,4,1,received
184475,10,2,US,0,2,1,received
927342,8,2,US,11,2,0,received
946872,5,6,US,3,4,1,received
139761,4,7,US,1,4,1,received
746019,11,4,FR,0,2,1,received
255145,8,2,US,3,2,0,received
95928,9,3,US,1,4,1,received
100879,1,6,US,8,2,1,received
317406,8,7,ES,0,2,0,received
27516,6,5,US,0,2,0,received
806748,14,2,US,4,4,1,received
438607,7,7,US,10,4,1,received
117471,5,6,US,1,4,1,opened
284630,13,7,US,2,2,0,received
327916,1,7,FR,1,4,1,received
153270,12,6,US,9,4,1,received
219847,2,7,FR,2,4,0,received
775805,3,5,US,4,2,1,received
681467,3,1,UK,6,2,0,received
916742,3,2,US,0,2,0,received
270771,3,2,US,10,4,0,received
619826,5,6,US,7,2,0,received
375293,6,4,UK,13,2,0,received
753655,11,1,UK,6,2,1,received
214289,3,1,US,1,4,0,received
205577,3,1,US,2,2,0,received
165270,9,6,US,10,2,1,received
319978,3,7,US,2,4,1,received
364825,6,5,UK,3,2,1,opened
778275,8,3,US,0,4,0,received
225112,7,5,US,4,4,0,received
186967,13,4,FR,2,2,1,received
711417,5,6,UK,3,2,0,received
171285,5,6,US,2,4,0,received
47795,15,6,US,3,2,1,received
532267,17,6,US,3,4,1,received
173215,11,1,US,5,2,1,received
216547,11,6,US,7,4,0,received
920674,5,6,US,9,2,1,received
644508,12,2,US,7,4,0,opened
587637,13,6,ES,4,2,1,received
440760,16,3,US,6,2,1,received
667595,8,7,UK,3,4,0,received
134685,9,7,US,6,4,1,received
436005,5,1,US,6,4,0,received
467674,13,6,US,1,4,0,received
533061,5,2,FR,4,4,1,received
423904,5,2,US,4,4,0,received
823261,10,1,US,9,2,1,opened
143070,6,7,US,8,2,1,received
148211,6,2,US,4,4,1,received
961413,5,4,US,10,2,1,received
505343,15,5,FR,2,2,1,received
621632,9,3,US,8,4,0,received
138699,11,2,FR,12,2,0,received
849,16,2,US,5,2,0,clicked
579832,6,4,ES,0,4,0,received
95563,7,7,UK,4,4,0,received
35004,8,2,US,6,2,1,received
340510,1,4,UK,2,2,1,received
